feature,coefficient,abs_coeff
new_odometer_bins_340000.0-350000.0,-1242.2506216064583,1242.2506216064583
drive_fwd,-1235.7598245770414,1235.7598245770414
new_odometer_bins_530000.0-540000.0,-1212.805191494211,1212.805191494211
new_odometer_bins_1250000.0-1260000.0,1187.9910838677265,1187.9910838677265
transmission_automatic,-1145.8459378847376,1145.8459378847376
new_odometer_bins_1110000.0-1120000.0,1108.0234054682212,1108.0234054682212
geo_regions_northeast,-1097.387345881913,1097.387345881913
new_odometer_bins_370000.0-380000.0,-1085.2044608390013,1085.2044608390013
new_odometer_bins_5550000.0-5560000.0,984.875946677267,984.875946677267
new_odometer_bins_3660000.0-3670000.0,-981.0323637959896,981.0323637959896
new_odometer_bins_510000.0-520000.0,974.624410851141,974.624410851141
new_odometer_bins_9990000.0-10000000.0,970.7495242259974,970.7495242259974
new_odometer_bins_410000.0-420000.0,965.3130058617854,965.3130058617854
new_odometer_bins_1760000.0-1770000.0,-963.5379307856275,963.5379307856275
manufacturer_tier_mid-market,-925.0261343532369,925.0261343532369
new_odometer_bins_170000.0-180000.0,906.5487929242871,906.5487929242871
drive_missing,-882.1366130110322,882.1366130110322
manufacturer_tier_luxury,850.6960486817189,850.6960486817189
manufacturer_tier_exotic,840.1227770151124,840.1227770151124
new_odometer_bins_300000.0-310000.0,-839.5347769841511,839.5347769841511
drive_rwd,836.9081131307519,836.9081131307519
new_odometer_bins_280000.0-290000.0,-823.10140381977,823.10140381977
new_odometer_bins_9750000.0-9760000.0,-822.7355704235199,822.7355704235199
new_year_bins_2005.0-2010.0,-810.5190596283732,810.5190596283732
collapsed_type_other_missing,-768.5220150204185,768.5220150204185
manufacturer_tier_economy,-765.7926960114129,765.7926960114129
new_odometer_bins_3330000.0-3340000.0,758.1046155187177,758.1046155187177
new_odometer_bins_1700000.0-1710000.0,736.1477102782601,736.1477102782601
new_odometer_bins_770000.0-780000.0,733.800915901695,733.800915901695
new_odometer_bins_1790000.0-1800000.0,732.5409996186603,732.5409996186603
geo_regions_midwest,-730.8418431503088,730.8418431503088
new_odometer_bins_760000.0-770000.0,-661.7777995493256,661.7777995493256
new_odometer_bins_180000.0-190000.0,660.5161303278238,660.5161303278238
geo_regions_hawaii,611.5880107002712,611.5880107002712
new_odometer_bins_1170000.0-1180000.0,-601.638819807204,601.638819807204
new_odometer_bins_2300000.0-2310000.0,-578.2196501865293,578.2196501865293
new_odometer_bins_680000.0-690000.0,558.4586278814879,558.4586278814879
new_odometer_bins_250000.0-260000.0,-557.1635567980145,557.1635567980145
new_odometer_bins_290000.0-300000.0,-546.3716117103841,546.3716117103841
new_odometer_bins_270000.0-280000.0,-499.19772860313157,499.19772860313157
fuel_other,488.76609892361034,488.76609892361034
new_odometer_bins_360000.0-370000.0,480.8187303470106,480.8187303470106
new_odometer_bins_1630000.0-1640000.0,-471.6156767517309,471.6156767517309
new_odometer_bins_190000.0-200000.0,455.36153817767615,455.36153817767615
fuel_gas,-440.1408887693752,440.1408887693752
new_odometer_bins_1680000.0-1690000.0,-423.39091995559755,423.39091995559755
new_odometer_bins_240000.0-250000.0,-386.00708063923946,386.00708063923946
new_odometer_bins_1130000.0-1140000.0,-371.04675848725714,371.04675848725714
collapsed_cylinders_missing,319.4490823988735,319.4490823988735
new_odometer_bins_610000.0-620000.0,313.775069629327,313.775069629327
new_odometer_bins_1240000.0-1250000.0,292.79579549539875,292.79579549539875
new_odometer_bins_460000.0-470000.0,287.2457880401463,287.2457880401463
collapsed_type_suv_crossover,-279.30421222088677,279.30421222088677
transmission_manual,-278.4870202704087,278.4870202704087
new_odometer_bins_210000.0-220000.0,278.1247326580109,278.1247326580109
new_odometer_bins_520000.0-530000.0,-267.5352552139885,267.5352552139885
geo_regions_southeast,-233.03553499209502,233.03553499209502
new_odometer_bins_200000.0-210000.0,185.36146452729432,185.36146452729432
collapsed_cylinders_6 cylinders,-185.3371545820638,185.3371545820638
new_odometer_bins_9090000.0-9100000.0,177.86183384971733,177.86183384971733
new_odometer_bins_1360000.0-1370000.0,-141.06546376251254,141.06546376251254
fuel_hybrid,-102.87869744863818,102.87869744863818
new_odometer_bins_230000.0-240000.0,85.9548256274204,85.9548256274204
new_odometer_bins_1950000.0-1960000.0,-60.071074261654736,60.071074261654736
new_odometer_bins_1710000.0-1720000.0,59.169229125913326,59.169229125913326
new_odometer_bins_310000.0-320000.0,-44.828747993908074,44.828747993908074
geo_regions_west,-41.21365717956351,41.21365717956351
new_odometer_bins_260000.0-270000.0,-27.50398484543284,27.50398484543284
new_odometer_bins_390000.0-400000.0,21.45788871341159,21.45788871341159
collapsed_type_van,18.710243137211968,18.710243137211968
new_odometer_bins_220000.0-230000.0,-9.605927172285034,9.605927172285034
